,,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked
Country,,AT,BE,CH,DE,DK,FI,FR,GB,IE,MT,NL,NO,SE
InventorySku,zone,,,,,,,,,,,,,
A308,11,585.0,818.0,1036.0,1286.0,201.0,67.0,1113.0,1.0,28.0,,341.0,1108.0,445.0
A309,11,269.0,432.0,463.0,864.0,,,430.0,,,,267.0,,
A310,11,,,858.0,,,,,,,,,,
A311,11,,,,,,148.0,,,,,,,849.0
A312,11,,,,,,,7229.0,,,,,,
A313,11,,864.0,,,,,,,,,552.0,,
A314,11,,,,,167.0,60.0,,,,,,497.0,140.0
A315,11,,9108.0,,,,,,,,,1243.0,,
A316,11,1300.0,,,4514.0,,,,,,,,,
A317,11,1354.0,,,5768.0,,,,,,,,,
A318,11,,,,,,,,,,,695.0,,
A319,11,,280.0,,,,,,,,,,,
A320,11,1214.0,,,,,,,,,,,,
A321,11,17.0,49.0,14.0,87.0,,,45.0,,,,12.0,,
A322,11,17.0,49.0,14.0,87.0,,,45.0,,,,12.0,,
A323,11,,92.0,,,,,,,,,,,
A324,11,,,2015.0,,,,,,,,,,
A325,11,,,,,,,,,,,1332.0,,
A326,11,,554.0,,,,,,,,,2772.0,,
A327,11,11.0,45.0,21.0,45.0,15.0,6.0,39.0,3.0,8.0,,12.0,27.0,26.0
A328,11,,,483.0,,,,,,,,,,
A329,11,,,615.0,,,,,,,,,,
A330,11,,,1750.0,,,,,,,,,,
A331,11,,425.0,,,,,369.0,,,,142.0,,
A332,11,,,,,,,367.0,,,,,,
A333,11,,,,,,,,,,,1514.0,,
A334,11,,1755.0,,,,,,,,,2140.0,,
A335,11,761.0,,,4343.0,,,,,,,,,
A336,11,10.0,41.0,19.0,24.0,11.0,4.0,33.0,,7.0,1.0,18.0,28.0,22.0
A337,11,,1101.0,,,,,,,,,,,
A338,11,,463.0,,,,,502.0,,,,147.0,,
A339,11,,,,,,,114.0,,,,,,
A340,11,,,,,,,419.0,,,,,,
A341,11,,,,,,277.0,,,,,,,788.0
A342,11,,,,,,,656.0,,,,,,
A343,11,,,,,,,,4.0,9.0,,,276.0,
A344,11,,,,,1465.0,,,,,,,1487.0,
A345,11,,,,,,,584.0,,,,,,
A346,13,,,,,,,,,,,297.0,,
A347,13,43.0,68.0,44.0,80.0,38.0,15.0,443.0,,3.0,,62.0,41.0,22.0
A348,13,43.0,68.0,44.0,80.0,38.0,15.0,443.0,,3.0,,62.0,41.0,22.0
A349,13,,,,353.0,,,,,,,,,
A350,13,,,,,,,539.0,,,,,,
A351,13,28.0,181.0,142.0,51.0,,4.0,286.0,3.0,5.0,,14.0,35.0,37.0
A352,13,28.0,181.0,142.0,51.0,,4.0,286.0,3.0,5.0,,14.0,35.0,37.0
A353,13,300.0,,,754.0,,,,,,,,,
A354,13,147.0,,310.0,253.0,,,,,,,,,
A355,13,,,,,,,,,,,,285.0,
A356,13,1890.0,1638.0,2032.0,4481.0,567.0,373.0,2646.0,19.0,109.0,,1557.0,2956.0,1509.0
A357,13,,,,,,75.0,,,,,,440.0,176.0
A358,13,,,340.0,,,,,,,,,,
A359,13,,,,,,,1150.0,,,,,,
A360,13,,,,,,53.0,,,,,,371.0,151.0
A361,13,,,,,,57.0,,,,,,372.0,166.0
A362,13,,,,,,196.0,,,,,,,439.0
A363,13,,,,,,64.0,,,,,,,540.0
A364,13,,,,,,50.0,,,,,,388.0,171.0
A365,13,,,1329.0,,,,,,,,,,
A366,13,588.0,,1174.0,819.0,,,,,,,,,
A367,13,,,,1335.0,,,,,,,,,
A369,13,,,,,,240.0,,,,,,,679.0
A370,13,967.0,,,2786.0,,,,,,,,,
A371,13,,,,,,531.0,,,,,,,951.0
A372,13,1528.0,,,5745.0,,,1977.0,,,,,,
A373,13,410.0,,,3887.0,,,,,,,,,
A374,13,,659.0,,,,,657.0,,,,,,
A375,13,,2730.0,,,,,,,,,471.0,,
A376,13,635.0,,1295.0,1865.0,,,,,,,,,
A377,13,,,2488.0,,,,,,,,,,
A378,13,836.0,,1295.0,2344.0,,,,,,,,,
A379,13,,1148.0,,,,,,,,,,,
A380,13,780.0,858.0,930.0,2180.0,316.0,210.0,1200.0,4.0,68.0,,683.0,1805.0,916.0
A381,13,,,,,,101.0,,,,,,634.0,210.0
A382,13,,333.0,,,,,,,,,,,
A383,13,,,,,,18.0,,,,,,183.0,76.0
A384,13,,,,,,,,,,,772.0,,
A385,13,159.0,1032.0,261.0,780.0,76.0,15.0,2104.0,11.0,62.0,10.0,296.0,183.0,174.0
A386,13,,,,,,54.0,,,,,,,116.0
A387,13,,,,,,,,,,,281.0,,
A388,13,,,,,,155.0,,,,,,,244.0
A389,13,,,,,,104.0,,,,,,,988.0
A390,13,,,,,,,,,,,708.0,,
A391,13,261.0,,,690.0,,,,,,,,,
A392,13,1330.0,,,3276.0,,,,,,,,,
A393,13,7.0,,44.0,52.0,21.0,33.0,24.0,3.0,4.0,,,36.0,10.0
A394,13,343.0,1385.0,687.0,540.0,56.0,127.0,1395.0,2.0,28.0,,664.0,591.0,454.0
A395,13,,,,,,,593.0,,,,108.0,,
A396,13,,,764.0,,,,,,,,,,
A397,13,,,,,,,,,,,,346.0,
A398,13,,7387.0,,,,,,,,,841.0,,
A399,13,,,,,,,,,,,,643.0,
A400,13,,,,,,,,,,,,367.0,
A402,13,764.0,3612.0,707.0,1942.0,285.0,25.0,5187.0,59.0,297.0,106.0,447.0,634.0,256.0
A403,13,764.0,3612.0,707.0,1942.0,285.0,25.0,5187.0,59.0,297.0,106.0,447.0,634.0,256.0
A404,13,,,,,124.0,,,,,,,,
A406,13,,,,,,,2537.0,,,,,,
A410,15,224.0,390.0,301.0,676.0,,,441.0,,,,239.0,,
A411,15,181.0,318.0,292.0,635.0,,,358.0,,,,242.0,,
A412,15,,,,,,,450.0,,,,,,
A413,15,625.0,739.0,553.0,1678.0,86.0,70.0,666.0,7.0,20.0,,418.0,171.0,137.0
A417,15,,,,,,,,,,,,1053.0,
A418,15,,,1393.0,,,,,,,,,,
A420,15,,2414.0,,,,,1648.0,,,,,,
A421,15,284.0,464.0,430.0,831.0,,,380.0,,,,237.0,,
A422,15,,1133.0,,,,,969.0,,,,524.0,,
A423,15,392.0,752.0,490.0,821.0,,,1035.0,,,,165.0,,
A424,15,,,,,,,5258.0,,,,,,
A425,15,147.0,179.0,189.0,446.0,,,131.0,,,,130.0,,
A426,15,,,,,,,1229.0,,,,,,
A427,15,675.0,,,2392.0,,,,,,,,,
A428,15,,,3235.0,,,,,,,,,,
A429,15,92.0,,140.0,315.0,,,,,,,,,
A430,15,754.0,1026.0,1044.0,2327.0,302.0,125.0,1016.0,5.0,48.0,,536.0,936.0,532.0
A431,15,,,,,,173.0,,,,,,,506.0
A433,15,86.0,,126.0,250.0,,,,,,,,,
A434,15,,,1839.0,,,,,,,,,,
A435,15,,,,,67.0,,,,,,,119.0,
A436,15,,,,,,,,,,,,1890.0,
A437,15,,,,1617.0,,,,,,,,,
A438,15,,,,,715.0,,,,,,,3723.0,
A439,15,89.0,445.0,152.0,178.0,,,200.0,6.0,7.0,,87.0,83.0,45.0
A440,15,273.0,,766.0,,,,,,,,,,
A451,21,,,,,,,361.0,,,,,,
A452,21,,480.0,,,,,472.0,,,,,,
A453,21,,895.0,,,,,,,,,,,
A455,21,,,,,,,377.0,,,,,,
A456,21,,189.0,,,,,187.0,,,,,,
A459,21,,,,,,,,,,,624.0,,
A460,21,,,,,,,,,,,2.0,,
A466,21,,,,,,,,,,,6.0,,
A478,21,19.0,131.0,49.0,74.0,95.0,4.0,243.0,7.0,50.0,14.0,55.0,109.0,42.0
A479,21,,32.0,,,,,,,,,,,
A480,21,,,,,,,,,,,504.0,,
A481,21,,513.0,,,,,,,,,,,
A482,21,,35.0,,,,,,,,,,,
A483,21,,484.0,,,,,,,,,,,
A484,21,,651.0,,,,,,,,,338.0,,
A485,21,,,,,,,,,,,,11.0,
A486,21,,,,,,,,,,,,38.0,
A487,21,,8.0,,,,,,,,,,,
A488,21,,,,,,,,,,,,16.0,
A489,21,,,,,,,11.0,,,,,,
A490,21,92.0,403.0,175.0,426.0,33.0,4.0,711.0,10.0,43.0,,141.0,78.0,74.0
A491,21,,,,,,,,,,,,,11.0
A492,21,,0.0,,,,,,,,,,,
A493,21,83.0,739.0,232.0,645.0,30.0,4.0,1142.0,10.0,39.0,17.0,196.0,55.0,74.0
A495,21,,,,,,,,34.0,295.0,,,,
A496,21,,,1964.0,,,,,,,,,,
A497,21,,,,,,,1871.0,,,,,,
A498,21,,7710.0,,,,,,,,,1068.0,,
A499,21,,,,,,13.0,,,,,,,
A500,21,,,,,,2.0,,,,,,,
A501,21,,3.0,,,,,7.0,,,,,,
A503,21,,,,,,,161.0,,,,,,
A504,21,53.0,,,173.0,,,,,,,,,
A505,21,43.0,,22.0,74.0,,,,,,,,,
A506,21,,29.0,,,,,150.0,,,,,,
A508,21,,14.0,,,,,109.0,,,,,,
A509,21,,,,,,,1677.0,,,,,,
A510,21,,5369.0,,,,,,,,,907.0,,
A511,21,,234.0,,,,,,,,,68.0,,
A515,21,,132.0,,,,,,,,,,,
A516,21,,,,,,,4.0,,,,,,
A519,21,,,,,,,,3.0,,,,,
A522,21,,,,,,,1.0,,,,,,
